,Survived,Age,Fare,Sex,SibSp1,SibSp2,SibSp3,Parch1,Parch2,Parch3,Parch4,nullAge,sqrtname,Title_Master,Title_girl,Title_men,Title_women,Fsize1,Fsize2,Fsize3,Fsize4,Fsize5,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_X,T_A,T_C,T_P,T_S,T_X,age_0,age_1,age_2,age_3,age_4,Em_C,Em_Q,Em_S,Pc_1,Pc_2,Pc_3
0,0.0,22,1,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,1.0,38,4,1,0,1,0,0,1,0,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,1.0,26,2,1,1,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
3,1.0,35,3,1,0,1,0,0,1,0,0,0,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
4,0.0,35,2,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
5,0.0,27,2,0,1,0,0,1,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6,0.0,54,3,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
7,0.0,2,3,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
8,1.0,27,2,1,1,0,0,1,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
9,1.0,14,3,1,0,1,0,0,1,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
10,1.0,4,2,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
11,1.0,58,3,1,1,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
12,0.0,20,2,0,1,0,0,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
13,0.0,39,3,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
14,0.0,14,2,1,1,0,0,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
15,1.0,55,2,1,1,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
16,0.0,2,3,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
